Date,Mean_Wind_Speed,Wind_Direction,Average_Humidity,Average_Temperature,Minimum_Temperature,MaximumTemperature,Structure_Length,Latitude,Longitude,BridgeAge,AverageDailyTraffic,TotalPrecipitation,Mean_TOW,Mean_PH,Mean_Cl-,Mean_Annual_Corrosion_Rate
1/13/2025,4.425223,86.97438,49.24336,14.32741,-19.75801,48.41284,1000,34.76984,-84.03099,25,2424,683.7919,1,6.33,26.16,170.05
1/14/2025,2.381291,184.7994,50.66506,16.90578,-14.99333,48.80489,1000,34.76984,-84.03099,25,3530,228.8219,70,3.83,29.7,486.85
1/15/2025,16.60163,94.60278,33.27788,15.55351,-16.02833,47.13535,1000,34.76984,-84.03099,25,3530,769.635,44,0.58,48.13,412.51
1/16/2025,17.77795,40.34489,50.53669,16.04413,-17.50009,49.58836,1000,34.76984,-84.03099,25,3530,344.1424,91,2.18,166.95,129.1
1/17/2025,6.739677,72.45647,70.89434,11.55195,-14.86604,37.96994,1000,34.76984,-84.03099,25,6323,793.9423,14,5.5,52.99,30.6
1/18/2025,9.162055,150.5986,62.55653,15.67721,-17.95338,49.30779,1000,34.76984,-84.03099,25,6323,663.6612,6,0.89,40.59,329.12
1/19/2025,1.163909,269.9388,44.81919,4.283713,-18.5615,27.12893,1000,34.76984,-84.03099,25,8234,715.5614,62,4.87,136.68,406.39
1/20/2025,2.553358,54.39297,60.35983,11.88094,-19.87857,43.64044,1000,34.76984,-84.03099,25,8234,397.9165,24,6.67,126.05,142.86
1/21/2025,17.52703,62.01061,64.24364,14.65477,-18.06231,47.37184,1000,34.76984,-84.03099,25,6381,368.8705,45,0.3,177.51,399.16
1/22/2025,0.4176903,119.6136,68.28017,9.895601,-18.90433,38.69553,1000,34.76984,-84.03099,25,6381,713.2383,22,1.76,184.29,215.2
1/23/2025,19.37222,206.5852,40.06761,10.9125,-13.36508,35.19009,1000,34.76984,-84.03099,25,3122,647.2164,27,0.38,40.31,417.67
1/24/2025,5.280348,291.4467,34.96231,14.53026,-18.335,47.39552,1000,34.76984,-84.03099,25,3122,564.8221,1,6.75,98.36,44.69
1/25/2025,1.233151,328.6652,51.50052,7.881965,-16.18601,31.94994,1000,34.76984,-84.03099,25,3122,204.2901,25,8.92,48.87,365.05
1/26/2025,19.33458,216.2063,57.92908,14.96112,-19.64242,49.56466,1000,34.76984,-84.03099,25,6488,897.9562,79,8.96,171.99,248.15
1/27/2025,10.55173,39.19441,57.25402,10.62786,-18.75762,40.01334,1000,34.76984,-84.03099,25,6488,443.1468,24,7.27,144.15,274.96
1/28/2025,6.185388,353.4541,25.39588,10.646,-19.42002,40.71202,1000,34.76984,-84.03099,25,8858,773.1315,21,7.4,146.82,225.5
1/29/2025,3.735414,185.5453,59.74101,15.78338,-16.72011,48.28687,1000,34.76984,-84.03099,25,8858,681.0735,85,0.8,6.55,475.41
1/30/2025,7.796136,235.4687,57.66005,10.92189,-15.60478,37.44856,1000,34.76984,-84.03099,25,8858,157.891,0,4.39,87.72,270.8
1/31/2025,8.259982,283.7961,52.77799,3.020364,-19.09617,25.1369,1000,34.76984,-84.03099,25,8858,700.2379,11,8.23,83,256.14
2/1/2025,3.508618,125.3445,40.91092,10.34851,-18.83655,39.53357,1000,34.76984,-84.03099,25,8858,468.99,88,0.5,108.97,302.96
2/2/2025,5.811237,120.6769,37.43708,15.62124,-18.26563,49.50811,1000,34.76984,-84.03099,25,3455,664.9738,56,7.85,45.91,383.98
2/3/2025,14.54297,12.84576,60.72816,13.87773,-19.83978,47.59523,1000,34.76984,-84.03099,25,3455,636.3865,43,7.39,80.03,227.28
2/4/2025,15.95229,117.3683,54.62992,15.72679,-17.60704,49.06061,1000,34.76984,-84.03099,25,4315,797.2743,17,6.04,128.21,417.69
2/5/2025,17.40484,179.9336,55.13917,8.960043,-19.68442,37.6045,1000,34.76984,-84.03099,25,4315,420.2444,44,9.26,190.9,139.68
2/6/2025,12.18948,91.0108,57.11372,15.30427,-17.91292,48.52146,1000,34.76984,-84.03099,25,6126,696.1356,22,8.11,47.63,418.59
2/7/2025,12.98635,257.5296,31.29055,14.49499,-17.96196,46.95194,1000,34.76984,-84.03099,25,6126,676.1202,67,8.18,48.5,111.34
2/8/2025,0.7890439,327.0266,78.29924,16.84563,-15.71641,49.40767,1000,34.76984,-84.03099,25,6126,315.28,81,8.48,163.9,111.93
2/9/2025,17.50532,283.2246,50.95085,14.4189,-19.66593,48.50373,1000,34.76984,-84.03099,25,9167,896.3483,29,4.84,35.29,337.42
2/10/2025,17.40249,178.1355,43.78397,14.88136,-18.78633,48.54905,1000,34.76984,-84.03099,25,9167,225.7281,40,1.88,72.75,494.52
2/11/2025,0.5035543,13.87809,68.95209,18.91818,-11.99135,49.82771,1000,34.76984,-84.03099,25,5489,437.3355,99,7.31,19.84,407.62
2/12/2025,11.255,322.5502,43.95057,3.783905,-17.31268,24.88049,1000,34.76984,-84.03099,25,5489,313.5405,82,8.72,136.99,188.88
2/13/2025,4.052081,127.7653,65.71636,12.13964,-18.22595,42.50524,1000,34.76984,-84.03099,25,3473,434.7752,38,4.71,46.97,454.87
2/14/2025,15.13876,197.0702,43.95991,14.00051,-19.7897,47.79072,1000,34.76984,-84.03099,25,3473,579.3479,47,9.41,134.6,176.96
2/15/2025,4.118333,89.94185,47.75245,10.52551,-18.1013,39.15232,1000,34.76984,-84.03099,25,3473,662.056,28,6.43,72.59,93.86
2/16/2025,18.13606,262.5016,41.70562,9.584179,-12.38693,31.55529,1000,34.76984,-84.03099,25,9891,865.0956,24,4.07,173.34,13.07
2/17/2025,0.6995487,328.8129,66.31258,15.45547,-18.93934,49.85028,1000,34.76984,-84.03099,25,9891,861.6725,91,8.23,0.24,40.88
2/18/2025,0.1824522,147.0318,56.17878,3.410873,-18.61484,25.43659,1000,34.76984,-84.03099,25,2784,395.8653,28,7.1,131.74,464.3
2/19/2025,1.456907,137.9529,51.30252,6.375842,-18.05904,30.81073,1000,34.76984,-84.03099,25,2784,425.7786,10,5.63,66.58,440.61
2/20/2025,15.91038,278.8821,47.56694,13.12044,-18.31435,44.55523,1000,34.76984,-84.03099,25,7278,631.0322,75,8.56,93.38,468.76
2/21/2025,11.6654,225.2864,34.59456,6.321735,-18.95628,31.59975,1000,34.76984,-84.03099,25,7278,762.6199,26,8.82,84.55,441.76
2/22/2025,17.01918,287.1546,16.853,15.40281,-18.66734,49.47297,1000,34.76984,-84.03099,25,7278,157.0732,100,4.82,135.82,443.79
2/23/2025,16.61606,281.6343,71.66016,10.96005,-16.53088,38.45098,1000,34.76984,-84.03099,25,3727,556.1677,95,8.84,186.28,472.27
2/24/2025,17.33418,197.2832,62.31784,10.07031,-16.1181,36.25873,1000,34.76984,-84.03099,25,3727,292.6968,63,9.9,98.08,376.33
2/25/2025,5.502209,213.2231,36.06746,16.94912,-14.74094,48.63917,1000,34.76984,-84.03099,25,2416,689.715,45,9.85,77.65,442.46
2/26/2025,19.66347,265.4667,46.16504,3.713907,-19.44537,26.87318,1000,34.76984,-84.03099,25,2416,510.7092,87,9.77,35.65,286.02
2/27/2025,0.7501101,96.13168,40.66653,10.58064,-18.6339,39.79517,1000,34.76984,-84.03099,25,3696,461.4156,4,6.98,110.73,217.21
2/28/2025,1.822371,49.41925,63.22636,17.26116,-12.41572,46.93805,1000,34.76984,-84.03099,25,3696,123.8921,45,7.19,176.97,90.58
3/1/2025,3.309891,113.8202,50.10549,14.01888,-16.32706,44.36481,1000,34.76984,-84.03099,25,3696,760.9043,57,5.61,55.04,459.42
3/2/2025,14.58002,265.5773,65.27964,10.16783,-19.84544,40.18111,1000,34.76984,-84.03099,25,2830,435.0634,18,5.12,145.49,349.84
3/3/2025,4.116383,143.1281,37.31738,15.42764,-17.6711,48.52638,1000,34.76984,-84.03099,25,2830,471.6906,60,1.44,153.75,464.76
3/4/2025,4.472868,249.9201,56.50206,15.17781,-16.72667,47.08229,1000,34.76984,-84.03099,25,3003,410.6465,21,9.24,107.74,299.85
3/5/2025,7.44131,124.9063,45.9228,6.370559,-18.16196,30.90307,1000,34.76984,-84.03099,25,3003,484.1843,92,8.18,11.71,242.43
3/6/2025,6.389007,159.8682,49.0439,13.3747,-18.02707,44.77646,1000,34.76984,-84.03099,25,9012,587.0005,20,2.63,193.02,359.32
3/7/2025,15.37035,236.9761,45.61302,11.50107,-15.3836,38.38574,1000,34.76984,-84.03099,25,9012,540.702,86,1.2,49.38,36.77
3/8/2025,10.18216,193.7635,30.2486,12.76747,-17.16855,42.70348,1000,34.76984,-84.03099,25,9012,564.3115,34,0.1,75.85,476.04
3/9/2025,4.529018,78.85123,29.55497,11.33596,-17.78813,40.46006,1000,34.76984,-84.03099,25,1794,448.3319,55,1.29,78.54,391.96
3/10/2025,8.048352,14.50122,42.8636,13.68896,-19.60731,46.98524,1000,34.76984,-84.03099,25,1794,596.7391,89,5.71,34.12,452.87
3/11/2025,8.394722,158.4455,43.43794,12.54055,-15.79869,40.87979,1000,34.76984,-84.03099,25,6077,498.7061,7,5.88,168.41,160.43
3/12/2025,19.31357,241.074,47.71468,11.18116,-19.74505,42.10737,1000,34.76984,-84.03099,25,6077,653.3929,77,0.51,147.52,387.65
3/13/2025,17.0505,138.7114,52.36353,7.691953,-14.2399,29.62381,1000,34.76984,-84.03099,25,2137,564.5643,19,6.89,32.73,31.36
3/14/2025,2.925503,334.3032,60.49462,14.77642,-18.96173,48.51458,1000,34.76984,-84.03099,25,2137,367.6223,100,8.29,148.71,160.75
3/15/2025,1.285551,181.6684,50.17379,10.68402,-15.00543,36.37347,1000,34.76984,-84.03099,25,9445,508.7306,78,6.73,17.54,493.22
3/16/2025,6.816486,236.3128,66.5942,10.9467,-9.525925,31.41933,1000,34.76984,-84.03099,25,9445,222.559,34,7.38,97.43,70.27
3/17/2025,8.941351,234.2384,47.82072,14.68937,-17.30745,46.68619,1000,34.76984,-84.03099,25,9445,334.2441,55,2.57,95.29,122.59
3/18/2025,12.13662,302.4113,36.61612,14.35584,-18.08751,46.79919,1000,34.76984,-84.03099,25,4519,256.3153,12,3.86,173.71,90.78
3/19/2025,13.03185,20.12541,39.5687,15.17416,-18.04428,48.3926,1000,34.76984,-84.03099,25,4519,537.8455,21,3.89,173.85,390.13
3/20/2025,1.329954,146.3947,50.67816,17.19723,-13.92777,48.32223,1000,34.76984,-84.03099,25,3566,746.278,37,4.61,44.78,83.11
3/21/2025,12.89253,11.52346,45.27467,13.92743,-12.67716,40.53202,1000,34.76984,-84.03099,25,3566,431.3741,88,5.01,61.04,366.78
3/22/2025,11.44514,16.37383,39.42009,11.07414,-18.58294,40.73122,1000,34.76984,-84.03099,25,2147,840.6129,93,6.52,11.12,407.35
3/23/2025,16.5179,322.3587,45.02924,15.2866,-15.46752,46.04073,1000,34.76984,-84.03099,25,2147,539.2311,100,1.98,55.62,451.78
3/24/2025,5.291992,48.07214,53.73514,12.88191,-19.67183,45.43565,1000,34.76984,-84.03099,25,2147,504.7055,56,7.93,158.28,208.06
3/25/2025,3.847401,95.14463,38.06166,15.33662,-12.79414,43.46738,1000,34.76984,-84.03099,25,3275,472.7815,12,9.59,123.53,210.69
3/26/2025,5.242511,152.0459,36.87315,17.31033,-13.74273,48.36338,1000,34.76984,-84.03099,25,3275,255.559,43,5.44,18.21,7.43
3/27/2025,19.44945,122.0173,46.94748,11.32862,-19.4551,42.11234,1000,34.76984,-84.03099,25,1551,144.7578,42,1.4,86.85,142.46
3/28/2025,6.457768,232.3984,60.16462,13.68546,-18.08675,45.45767,1000,34.76984,-84.03099,25,1551,416.1825,21,5.79,1.17,87.68
3/29/2025,19.18715,160.3016,54.39371,13.73044,-17.54282,45.00371,1000,34.76984,-84.03099,25,5780,603.9358,31,5.22,19.36,433.96
3/30/2025,10.55728,214.2716,48.46433,12.9164,-17.97889,43.81169,1000,34.76984,-84.03099,25,5780,36.0871,5,4.53,141.62,486.23
3/31/2025,8.129934,225.2177,42.16978,14.0142,-19.99119,48.01959,1000,34.76984,-84.03099,25,5780,265.7083,41,5.8,5.62,113.28
4/1/2025,8.725101,201.0351,34.42668,13.34414,-18.49885,45.18713,1000,34.76984,-84.03099,25,7101,558.6218,29,2.42,9.46,303.01
4/2/2025,7.502862,310.9268,35.76315,13.18787,-17.59626,43.97201,1000,34.76984,-84.03099,25,7101,734.3524,61,3.79,166.33,114.15
4/3/2025,19.53041,167.1407,31.55035,16.61535,-15.55948,48.79019,1000,34.76984,-84.03099,25,9660,325.6008,42,5.55,16.48,491.61
4/4/2025,17.40427,134.1205,40.90574,12.33896,-12.46292,37.14085,1000,34.76984,-84.03099,25,9660,401.1628,34,0.03,109.45,389.74
4/5/2025,5.082463,6.779079,55.4033,16.23546,-17.28971,49.76062,1000,34.76984,-84.03099,25,3766,670.8085,12,1.39,192.89,119.69
4/6/2025,10.86808,115.3328,52.33544,10.80136,-10.20071,31.80342,1000,34.76984,-84.03099,25,3766,739.3178,91,9.48,12.93,40.83
4/7/2025,1.164274,16.54284,69.45258,13.76761,-19.79498,47.3302,1000,34.76984,-84.03099,25,3766,431.1442,79,3.15,12.52,138.08
4/8/2025,0.943296,332.9229,64.21724,13.7121,-19.46934,46.89354,1000,34.76984,-84.03099,25,8686,113.0641,68,6.35,133.49,407.99
4/9/2025,17.18764,304.2359,51.54141,14.73597,-19.87591,49.34785,1000,34.76984,-84.03099,25,8686,452.8069,98,1.99,169.55,461.81
4/10/2025,13.53904,358.0671,59.26448,14.47032,-19.58001,48.52064,1000,34.76984,-84.03099,25,2199,606.5539,31,9.28,161.73,243.93
4/11/2025,19.29387,264.6136,51.95876,11.02977,-18.88678,40.94632,1000,34.76984,-84.03099,25,2199,817.955,15,0.72,41.32,84.01
4/12/2025,8.361644,132.3048,63.67648,1.655911,-19.34997,22.66179,1000,34.76984,-84.03099,25,3891,691.2045,37,1.32,191.75,322.15
4/13/2025,12.7878,109.9261,28.40709,16.27868,-13.63935,46.19671,1000,34.76984,-84.03099,25,3891,681.2358,15,6.75,10.72,394.88
4/14/2025,14.29477,340.1214,46.9109,12.58635,-18.55753,43.73022,1000,34.76984,-84.03099,25,3891,677.4252,26,6.63,111.42,166.56
4/15/2025,13.87164,109.7296,24.67956,9.457877,-19.0428,37.95855,1000,34.76984,-84.03099,25,2571,656.5344,17,2.41,23.53,379.75
4/16/2025,1.996462,172.5858,57.79355,14.61525,-16.83983,46.07032,1000,34.76984,-84.03099,25,2571,265.6691,78,1.41,99.44,223.75
4/17/2025,5.466603,80.95155,57.2299,16.3858,-11.99711,44.76871,1000,34.76984,-84.03099,25,6389,618.5799,93,4.64,98.89,447.77
4/18/2025,19.00356,172.2919,55.22612,15.06871,-19.54039,49.6778,1000,34.76984,-84.03099,25,6389,291.3128,63,0.43,93.1,414.89
4/19/2025,7.877847,64.81702,77.79777,14.02872,-19.50817,47.56561,1000,34.76984,-84.03099,25,8223,622.3705,30,9.24,117.33,334.26
4/20/2025,4.97545,211.9347,57.96358,5.914477,-19.9159,31.74486,1000,34.76984,-84.03099,25,8223,489.7439,94,9.27,144.97,328
4/21/2025,7.616297,133.6157,46.5063,14.36946,-18.8559,47.59481,1000,34.76984,-84.03099,25,8223,600.9301,12,0.8,91.37,88.31
4/22/2025,2.706358,240.102,52.05187,9.894286,-19.6619,39.45047,1000,34.76984,-84.03099,25,6823,623.2789,26,2.53,165.68,435.6
4/23/2025,11.21972,357.138,41.77728,9.301044,-18.40039,37.00248,1000,34.76984,-84.03099,25,6823,307.5665,40,0.32,96.26,431.91
4/24/2025,16.37653,110.6814,58.91628,12.50906,-19.93895,44.95707,1000,34.76984,-84.03099,25,9865,404.349,94,7.11,123.67,45.28
4/25/2025,1.420507,62.89025,57.77823,3.255376,-16.67258,23.18334,1000,34.76984,-84.03099,25,9865,343.7269,43,9.33,4.57,485.82
4/26/2025,17.52654,348.4266,59.73912,10.31515,-18.58902,39.21933,1000,34.76984,-84.03099,25,4892,236.4651,43,3.49,117.61,421.32
4/27/2025,15.18729,288.8535,56.2612,15.46158,-14.66181,45.58496,1000,34.76984,-84.03099,25,4892,857.6716,64,1.61,153.45,490.82
4/28/2025,3.327818,172.9812,27.14427,6.904838,-15.72791,29.53759,1000,34.76984,-84.03099,25,8380,37.22161,82,1.85,192.16,362.06
4/29/2025,8.692822,306.513,29.0319,13.3488,-13.67895,40.37655,1000,34.76984,-84.03099,25,8380,630.0735,51,2.31,82.39,290.2
4/30/2025,12.12915,220.4519,36.13715,9.200121,-14.4468,32.84704,1000,34.76984,-84.03099,25,8380,410.9122,31,8.38,171.56,104.6
5/1/2025,19.63859,116.9378,59.11421,10.52323,-18.05981,39.10627,1000,34.76984,-84.03099,25,5695,600.2469,22,8.27,81.06,303.73
5/2/2025,13.22297,334.2077,38.12376,12.82083,-19.64974,45.2914,1000,34.76984,-84.03099,25,5695,150.1829,61,3.94,157.57,74.61
5/3/2025,12.50122,216.787,27.47302,13.78025,-16.88502,44.44551,1000,34.76984,-84.03099,25,1703,284.9134,27,2.63,52.61,361.97
5/4/2025,19.88964,202.7628,59.39897,13.79238,-18.75621,46.34097,1000,34.76984,-84.03099,25,1703,279.2309,5,4.97,14.95,272.8
5/5/2025,13.79359,217.128,58.40718,15.94808,-15.90488,47.80104,1000,34.76984,-84.03099,25,4339,414.8821,62,1.93,94.84,298.67
5/6/2025,0.07184267,222.5212,66.74009,11.51927,-16.27527,39.31381,1000,34.76984,-84.03099,25,4339,509.15,4,2.98,3.85,378.35
5/7/2025,5.898205,92.6373,69.4556,11.99726,-18.22559,42.22011,1000,34.76984,-84.03099,25,4339,682.1973,31,4.75,66.81,24.92
5/8/2025,15.10836,351.7816,57.99293,13.68647,-19.70482,47.07776,1000,34.76984,-84.03099,25,8821,711.067,49,2.09,50.69,347.18
5/9/2025,9.839133,303.9391,50.36801,15.62521,-16.19065,47.44108,1000,34.76984,-84.03099,25,8821,17.59416,5,9.84,58.51,496.76
5/10/2025,0.09283543,304.8134,58.24498,16.34886,-16.975,49.67272,1000,34.76984,-84.03099,25,8422,795.1981,61,6.7,101.5,170.48
5/11/2025,18.2887,250.1458,65.78254,12.38126,-18.50745,43.26997,1000,34.76984,-84.03099,25,8422,439.406,26,3.03,33.31,111.02
5/12/2025,3.189511,85.31772,56.54992,14.00972,-19.54416,47.56359,1000,34.76984,-84.03099,25,5567,557.8584,43,3.19,104.61,288.82
5/13/2025,13.98856,74.94216,39.76357,11.71903,-15.50779,38.94586,1000,34.76984,-84.03099,25,5567,488.6133,10,1.51,170.97,17.8
5/14/2025,19.42494,150.3607,53.8179,15.70162,-18.29626,49.6995,1000,34.76984,-84.03099,25,5567,476.7691,28,6.86,35.52,159.58
5/15/2025,7.529727,211.426,44.59371,14.19771,-19.2313,47.62672,1000,34.76984,-84.03099,25,4380,461.249,98,9.66,192.28,324.53
5/16/2025,3.654017,15.40086,39.75488,12.63286,-19.59553,44.86125,1000,34.76984,-84.03099,25,4380,632.5344,5,9.98,152.69,263.93
5/17/2025,19.09937,299.2726,54.68046,13.0548,-17.79272,43.90232,1000,34.76984,-84.03099,25,5619,369.7057,74,1.62,136.97,295.9
5/18/2025,17.97697,1.789742,54.38787,13.20194,-15.55146,41.95533,1000,34.76984,-84.03099,25,5619,792.6353,19,2.35,129.78,417.28
5/19/2025,16.58476,251.9691,56.96309,14.03266,-19.93447,47.99979,1000,34.76984,-84.03099,25,8083,571.9262,73,7.12,58.62,488.58
5/20/2025,4.786167,216.9302,42.81607,12.03392,-15.64031,39.70814,1000,34.76984,-84.03099,25,8083,413.3414,47,7.5,83.9,274
5/21/2025,6.47426,222.7251,44.59885,15.11271,-17.26829,47.4937,1000,34.76984,-84.03099,25,8083,159.2806,81,7.98,52.32,429.58
5/22/2025,4.127357,89.74624,47.80246,-0.5918245,-19.14886,17.96521,1000,34.76984,-84.03099,25,5547,691.7944,72,8.71,138.59,491.72
5/23/2025,15.26845,131.3918,59.02945,5.620138,-19.2211,30.46137,1000,34.76984,-84.03099,25,5547,668.6882,20,1.72,78.1,498.26
5/24/2025,17.97228,285.1682,36.79582,12.89002,-19.47113,45.25117,1000,34.76984,-84.03099,25,7529,637.6278,58,2.74,153.01,347.47
5/25/2025,2.290688,150.7848,68.42245,11.29543,-17.9128,40.50366,1000,34.76984,-84.03099,25,7529,528.975,96,4.45,64.15,378.64
5/26/2025,12.85969,122.6622,45.03267,13.28616,-15.42861,42.00093,1000,34.76984,-84.03099,25,3375,715.7997,6,1.13,28.28,246.51
5/27/2025,7.267681,287.4694,60.90657,12.17828,-15.13671,39.49328,1000,34.76984,-84.03099,25,3375,389.0181,83,5.91,134.61,6.46
5/28/2025,19.03091,339.1649,51.82981,12.94196,-18.64146,44.52537,1000,34.76984,-84.03099,25,3375,171.8034,6,3.12,4.77,482.95
5/29/2025,9.282049,71.99508,47.9973,3.153661,-18.86979,25.17711,1000,34.76984,-84.03099,25,8884,437.041,55,2.45,54.77,283.44
5/30/2025,4.457021,237.8356,56.53741,14.29502,-15.5427,44.13275,1000,34.76984,-84.03099,25,8884,548.0079,44,7.91,69.68,351.66
5/31/2025,4.639804,113.5815,43.36963,12.1724,-11.90692,36.25172,1000,34.76984,-84.03099,25,6973,386.2472,65,8.32,174.48,418
6/1/2025,7.290998,271.0255,60.43542,15.23005,-16.25637,46.71648,1000,34.76984,-84.03099,25,6973,470.9586,73,3.14,134.24,142.45
6/2/2025,15.86486,81.36676,40.10009,13.36981,-17.96685,44.70646,1000,34.76984,-84.03099,25,8704,503.4945,94,8.06,189.97,22.31
6/3/2025,9.810577,295.6165,32.68421,6.726391,-19.85777,33.31055,1000,34.76984,-84.03099,25,8704,340.0142,79,4.5,149.63,74.04
6/4/2025,6.691395,48.00703,63.31819,14.83519,-16.31935,45.98974,1000,34.76984,-84.03099,25,8704,87.28296,55,9.98,191.63,77.36
6/5/2025,15.51898,178.4706,66.76998,14.71305,-18.42811,47.85422,1000,34.76984,-84.03099,25,7673,632.5657,84,0.98,19.29,255.92
6/6/2025,14.5137,21.69117,45.80729,15.79506,-13.20287,44.793,1000,34.76984,-84.03099,25,7673,145.9875,87,2.24,82.06,297.47
6/7/2025,10.73142,319.2201,60.00654,13.71867,-19.24693,46.68427,1000,34.76984,-84.03099,25,9310,548.1893,97,2.19,76.49,140.96
6/8/2025,18.58343,356.3413,26.27033,14.29224,-19.97622,48.5607,1000,34.76984,-84.03099,25,9310,430.3893,69,1.64,125.73,482.77
6/9/2025,8.821136,225.7887,57.92128,13.7633,-12.61051,40.13711,1000,34.76984,-84.03099,25,8256,555.1644,80,0.95,114.96,88.45
6/10/2025,18.1441,129.907,17.10934,12.27458,-17.00206,41.55121,1000,34.76984,-84.03099,25,8256,543.1341,44,1.11,151.69,438.38
6/11/2025,5.664526,24.91691,40.32499,11.16598,-15.89064,38.22259,1000,34.76984,-84.03099,25,8256,472.7224,33,3.08,52.56,404.45
6/12/2025,7.826594,354.3113,43.62511,8.84328,-19.03614,36.7227,1000,34.76984,-84.03099,25,1811,530.9098,52,0.53,136.93,283.99
6/13/2025,19.63965,114.0332,36.69159,16.37705,-16.8396,49.59369,1000,34.76984,-84.03099,25,1811,278.7804,94,7.25,143.43,294.5
6/14/2025,10.96702,43.77301,62.84741,12.17251,-19.79181,44.13683,1000,34.76984,-84.03099,25,3209,770.2473,96,9.41,51.73,152.25
6/15/2025,11.35486,16.47263,57.27457,14.93078,-10.99353,40.85509,1000,34.76984,-84.03099,25,3209,168.752,8,2.19,185.24,466.3
6/16/2025,0.9878159,152.0782,48.63876,8.162018,-16.0629,32.38694,1000,34.76984,-84.03099,25,1538,299.1938,59,1.2,110.35,463.97
6/17/2025,3.663909,36.44294,61.06664,12.56382,-16.07829,41.20594,1000,34.76984,-84.03099,25,1538,128.9706,9,6.38,66.59,23.48
6/18/2025,14.73485,239.5777,48.59946,13.05857,-18.83883,44.95598,1000,34.76984,-84.03099,25,2732,628.7617,87,0.52,139.14,451.85
6/19/2025,5.287036,168.5122,64.59404,15.10846,-19.58319,49.80012,1000,34.76984,-84.03099,25,2732,319.7201,7,1.81,160.58,37.47
6/20/2025,8.508605,57.34889,43.3534,12.95843,-19.18127,45.09813,1000,34.76984,-84.03099,25,2732,380.9763,3,1.61,18,151.08
6/21/2025,10.06541,188.1014,44.90495,13.26593,-18.0779,44.60976,1000,34.76984,-84.03099,25,6034,270.7081,52,6.12,174.71,106.04
6/22/2025,3.764992,177.9427,25.46165,5.128154,-16.69751,26.95381,1000,34.76984,-84.03099,25,6034,376.4474,82,3.99,160.32,397.56
6/23/2025,9.304818,82.34034,46.09493,11.35622,-19.05447,41.76692,1000,34.76984,-84.03099,25,5534,429.592,15,0.6,4.59,401.26
6/24/2025,17.81233,67.9252,44.19567,14.8714,-14.55666,44.29946,1000,34.76984,-84.03099,25,5534,445.1962,36,6.84,19.76,475.64
6/25/2025,0.9291649,9.317436,66.92625,12.08103,-19.30973,43.47178,1000,34.76984,-84.03099,25,9954,286.7384,31,5.95,154.51,430.35
6/26/2025,6.630057,62.42522,47.06066,16.57752,-15.26719,48.42223,1000,34.76984,-84.03099,25,9954,275.6117,94,3.2,164.21,199.22
6/27/2025,17.2064,320.3612,59.07034,18.2878,-11.944,48.51959,1000,34.76984,-84.03099,25,9954,548.3574,38,4.27,82.09,213.24
6/28/2025,11.98963,294.3123,56.60094,16.25806,-16.35774,48.87387,1000,34.76984,-84.03099,25,5301,135.9925,78,3.43,182.39,24.19
6/29/2025,8.784937,263.9394,47.63335,17.22412,-15.14454,49.59277,1000,34.76984,-84.03099,25,5301,416.0975,14,8.64,3.46,377.4
